,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[619, 168, 201, 250]",0.26,0.0,0.06,0.06,0.21,0.01,0.4
1,"[620, 169, 201, 249]",0.28,0.0,0.07,0.07,0.25,0.01,0.31
2,"[619, 167, 203, 252]",0.24,0.0,0.05,0.06,0.18,0.01,0.45
3,"[620, 167, 202, 252]",0.23,0.0,0.06,0.06,0.17,0.01,0.47
4,"[620, 166, 203, 251]",0.24,0.0,0.07,0.07,0.12,0.02,0.47
5,"[620, 166, 204, 250]",0.22,0.0,0.08,0.12,0.16,0.03,0.39
6,"[620, 165, 204, 251]",0.24,0.0,0.07,0.11,0.14,0.02,0.42
7,"[621, 165, 204, 253]",0.27,0.0,0.06,0.07,0.12,0.01,0.49
8,"[620, 166, 203, 250]",0.26,0.0,0.07,0.1,0.16,0.02,0.39
9,"[620, 166, 203, 249]",0.22,0.0,0.07,0.14,0.18,0.02,0.36
10,"[621, 165, 203, 251]",0.27,0.0,0.08,0.07,0.15,0.02,0.4
11,"[618, 159, 207, 261]",0.21,0.0,0.06,0.08,0.18,0.02,0.46
12,"[622, 166, 205, 251]",0.17,0.0,0.05,0.12,0.15,0.02,0.5
13,"[626, 169, 202, 249]",0.22,0.0,0.04,0.06,0.18,0.01,0.5
14,"[624, 159, 213, 272]",0.12,0.0,0.01,0.09,0.15,0.01,0.62
15,"[624, 159, 213, 273]",0.1,0.0,0.01,0.07,0.15,0.01,0.67
16,"[624, 164, 211, 260]",0.3,0.0,0.04,0.01,0.42,0.01,0.22
17,"[632, 177, 207, 256]",0.26,0.0,0.14,0.0,0.53,0.01,0.06
18,"[653, 171, 207, 270]",0.46,0.0,0.06,0.0,0.35,0.01,0.12
19,"[448, 200, 179, 232]",0.8,0.0,0.08,0.01,0.07,0.0,0.04
20,"[446, 200, 179, 229]",0.77,0.0,0.07,0.0,0.07,0.0,0.09
21,"[446, 200, 179, 229]",0.77,0.0,0.07,0.0,0.07,0.0,0.09
22,"[446, 199, 179, 231]",0.75,0.0,0.06,0.0,0.08,0.0,0.1
23,"[447, 195, 183, 235]",0.7,0.0,0.07,0.01,0.08,0.0,0.13
24,"[458, 201, 184, 228]",0.59,0.0,0.1,0.01,0.17,0.0,0.12
25,"[464, 205, 182, 227]",0.64,0.01,0.07,0.0,0.17,0.0,0.09
26,"[464, 205, 182, 227]",0.64,0.01,0.08,0.0,0.17,0.0,0.1
27,"[474, 201, 192, 239]",0.61,0.0,0.1,0.01,0.18,0.02,0.08
28,"[481, 209, 183, 226]",0.65,0.01,0.12,0.0,0.19,0.0,0.03
29,"[500, 197, 180, 228]",0.76,0.01,0.08,0.01,0.11,0.01,0.02
30,"[505, 186, 188, 246]",0.71,0.03,0.07,0.01,0.16,0.01,0.02
31,"[505, 186, 188, 246]",0.7,0.03,0.07,0.01,0.16,0.01,0.02
32,"[507, 181, 194, 255]",0.78,0.06,0.03,0.02,0.07,0.01,0.02
33,"[520, 184, 187, 242]",0.76,0.02,0.05,0.01,0.11,0.0,0.04
34,"[556, 201, 185, 226]",0.35,0.01,0.05,0.0,0.41,0.0,0.18
35,"[566, 208, 187, 237]",0.41,0.0,0.06,0.08,0.27,0.03,0.14
36,"[566, 201, 190, 243]",0.55,0.03,0.04,0.01,0.29,0.03,0.06
37,"[532, 183, 189, 232]",0.54,0.09,0.11,0.03,0.16,0.02,0.03
38,"[536, 179, 186, 226]",0.25,0.0,0.13,0.2,0.3,0.0,0.11
39,"[536, 179, 186, 226]",0.24,0.0,0.13,0.21,0.3,0.0,0.11
40,"[538, 176, 187, 223]",0.31,0.0,0.17,0.05,0.42,0.0,0.04
41,"[552, 176, 184, 224]",0.44,0.0,0.15,0.1,0.28,0.0,0.03
42,"[566, 184, 191, 241]",0.54,0.0,0.1,0.14,0.14,0.01,0.06
43,"[607, 270, 183, 226]",0.23,0.0,0.04,0.04,0.48,0.0,0.2
44,"[597, 249, 196, 245]",0.11,0.0,0.03,0.36,0.31,0.05,0.14
45,"[597, 258, 189, 231]",0.36,0.03,0.05,0.14,0.35,0.02,0.06
46,"[597, 257, 189, 232]",0.27,0.04,0.07,0.13,0.4,0.02,0.07
47,"[522, 275, 163, 201]",0.04,0.0,0.3,0.4,0.14,0.05,0.07
48,"[523, 249, 162, 204]",0.07,0.0,0.08,0.67,0.1,0.04,0.03
49,"[523, 249, 162, 204]",0.07,0.0,0.07,0.68,0.1,0.04,0.03
50,"[538, 207, 177, 216]",0.32,0.02,0.1,0.27,0.25,0.01,0.03
51,"[564, 210, 184, 230]",0.59,0.05,0.1,0.14,0.08,0.03,0.0
52,"[581, 218, 181, 227]",0.5,0.28,0.09,0.01,0.11,0.01,0.0
53,"[580, 218, 182, 227]",0.5,0.28,0.09,0.01,0.11,0.01,0.0
54,"[589, 215, 184, 236]",0.5,0.12,0.14,0.07,0.15,0.02,0.0
55,"[598, 227, 188, 237]",0.63,0.07,0.13,0.01,0.13,0.03,0.0
56,"[619, 263, 174, 216]",0.14,0.0,0.19,0.01,0.64,0.0,0.02
57,"[618, 276, 182, 217]",0.13,0.0,0.45,0.01,0.37,0.0,0.04
58,"[618, 276, 182, 217]",0.12,0.0,0.46,0.01,0.36,0.0,0.03
59,"[624, 273, 181, 229]",0.17,0.0,0.09,0.08,0.57,0.02,0.06
60,"[630, 275, 179, 229]",0.2,0.0,0.09,0.03,0.62,0.02,0.04
61,"[600, 231, 189, 250]",0.32,0.0,0.13,0.02,0.4,0.05,0.09
62,"[602, 234, 187, 246]",0.27,0.0,0.15,0.01,0.45,0.05,0.07
63,"[603, 243, 178, 224]",0.22,0.04,0.17,0.01,0.5,0.03,0.03
64,"[597, 257, 162, 203]",0.17,0.01,0.27,0.03,0.48,0.02,0.01
65,"[456, 226, 190, 238]",0.11,0.0,0.05,0.03,0.69,0.0,0.12
66,"[464, 235, 184, 219]",0.25,0.01,0.12,0.09,0.5,0.0,0.03
67,"[465, 235, 182, 219]",0.24,0.0,0.12,0.1,0.49,0.0,0.03
68,"[475, 238, 183, 223]",0.45,0.13,0.05,0.03,0.33,0.0,0.01
69,"[498, 247, 186, 227]",0.38,0.02,0.07,0.11,0.38,0.0,0.03
70,"[521, 260, 180, 216]",0.32,0.01,0.09,0.13,0.42,0.0,0.03
71,"[537, 264, 180, 221]",0.53,0.06,0.06,0.12,0.23,0.0,0.01
72,"[519, 155, 171, 218]",0.08,0.0,0.09,0.36,0.39,0.01,0.07
73,"[519, 155, 171, 218]",0.08,0.0,0.09,0.35,0.4,0.01,0.07
74,"[509, 138, 177, 227]",0.11,0.0,0.08,0.42,0.32,0.03,0.04
75,"[505, 115, 183, 238]",0.13,0.0,0.28,0.09,0.36,0.1,0.04
