angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.26,,"[619, 168, 201, 250]",,0.0,,0.06,,0.06,,0.4,,0.21,,0.01,
0.28,,"[620, 169, 201, 249]",,0.0,,0.07,,0.07,,0.31,,0.25,,0.01,
0.24,,"[619, 167, 203, 252]",,0.0,,0.05,,0.06,,0.45,,0.18,,0.01,
0.23,,"[620, 167, 202, 252]",,0.0,,0.06,,0.06,,0.47,,0.17,,0.01,
0.24,,"[620, 166, 203, 251]",,0.0,,0.07,,0.07,,0.47,,0.12,,0.02,
0.22,,"[620, 166, 204, 250]",,0.0,,0.08,,0.12,,0.39,,0.16,,0.03,
0.24,,"[620, 165, 204, 251]",,0.0,,0.07,,0.11,,0.42,,0.14,,0.02,
0.27,,"[621, 165, 204, 253]",,0.0,,0.06,,0.07,,0.49,,0.12,,0.01,
0.26,,"[620, 166, 203, 250]",,0.0,,0.07,,0.1,,0.39,,0.16,,0.02,
0.22,,"[620, 166, 203, 249]",,0.0,,0.07,,0.14,,0.36,,0.18,,0.02,
0.27,,"[621, 165, 203, 251]",,0.0,,0.08,,0.07,,0.4,,0.15,,0.02,
0.21,,"[618, 159, 207, 261]",,0.0,,0.06,,0.08,,0.46,,0.18,,0.02,
0.17,,"[622, 166, 205, 251]",,0.0,,0.05,,0.12,,0.5,,0.15,,0.02,
0.22,,"[626, 169, 202, 249]",,0.0,,0.04,,0.06,,0.5,,0.18,,0.01,
0.12,,"[624, 159, 213, 272]",,0.0,,0.01,,0.09,,0.62,,0.15,,0.01,
0.1,,"[624, 159, 213, 273]",,0.0,,0.01,,0.07,,0.67,,0.15,,0.01,
0.3,,"[624, 164, 211, 260]",,0.0,,0.04,,0.01,,0.22,,0.42,,0.01,
0.26,,"[632, 177, 207, 256]",,0.0,,0.14,,0.0,,0.06,,0.53,,0.01,
0.46,,"[653, 171, 207, 270]",,0.0,,0.06,,0.0,,0.12,,0.35,,0.01,
0.8,,"[448, 200, 179, 232]",,0.0,,0.08,,0.01,,0.04,,0.07,,0.0,
0.77,,"[446, 200, 179, 229]",,0.0,,0.07,,0.0,,0.09,,0.07,,0.0,
0.77,,"[446, 200, 179, 229]",,0.0,,0.07,,0.0,,0.09,,0.07,,0.0,
0.75,,"[446, 199, 179, 231]",,0.0,,0.06,,0.0,,0.1,,0.08,,0.0,
0.7,,"[447, 195, 183, 235]",,0.0,,0.07,,0.01,,0.13,,0.08,,0.0,
0.59,,"[458, 201, 184, 228]",,0.0,,0.1,,0.01,,0.12,,0.17,,0.0,
0.64,,"[464, 205, 182, 227]",,0.01,,0.07,,0.0,,0.09,,0.17,,0.0,
0.64,,"[464, 205, 182, 227]",,0.01,,0.08,,0.0,,0.1,,0.17,,0.0,
0.61,,"[474, 201, 192, 239]",,0.0,,0.1,,0.01,,0.08,,0.18,,0.02,
0.65,,"[481, 209, 183, 226]",,0.01,,0.12,,0.0,,0.03,,0.19,,0.0,
0.76,,"[500, 197, 180, 228]",,0.01,,0.08,,0.01,,0.02,,0.11,,0.01,
0.71,,"[505, 186, 188, 246]",,0.03,,0.07,,0.01,,0.02,,0.16,,0.01,
0.7,,"[505, 186, 188, 246]",,0.03,,0.07,,0.01,,0.02,,0.16,,0.01,
0.78,,"[507, 181, 194, 255]",,0.06,,0.03,,0.02,,0.02,,0.07,,0.01,
0.76,,"[520, 184, 187, 242]",,0.02,,0.05,,0.01,,0.04,,0.11,,0.0,
0.35,,"[556, 201, 185, 226]",,0.01,,0.05,,0.0,,0.18,,0.41,,0.0,
0.41,,"[566, 208, 187, 237]",,0.0,,0.06,,0.08,,0.14,,0.27,,0.03,
0.55,,"[566, 201, 190, 243]",,0.03,,0.04,,0.01,,0.06,,0.29,,0.03,
0.54,,"[532, 183, 189, 232]",,0.09,,0.11,,0.03,,0.03,,0.16,,0.02,
0.25,,"[536, 179, 186, 226]",,0.0,,0.13,,0.2,,0.11,,0.3,,0.0,
0.24,,"[536, 179, 186, 226]",,0.0,,0.13,,0.21,,0.11,,0.3,,0.0,
0.31,,"[538, 176, 187, 223]",,0.0,,0.17,,0.05,,0.04,,0.42,,0.0,
0.44,,"[552, 176, 184, 224]",,0.0,,0.15,,0.1,,0.03,,0.28,,0.0,
0.54,,"[566, 184, 191, 241]",,0.0,,0.1,,0.14,,0.06,,0.14,,0.01,
0.23,,"[607, 270, 183, 226]",,0.0,,0.04,,0.04,,0.2,,0.48,,0.0,
0.11,,"[597, 249, 196, 245]",,0.0,,0.03,,0.36,,0.14,,0.31,,0.05,
0.36,,"[597, 258, 189, 231]",,0.03,,0.05,,0.14,,0.06,,0.35,,0.02,
0.27,,"[597, 257, 189, 232]",,0.04,,0.07,,0.13,,0.07,,0.4,,0.02,
0.04,,"[522, 275, 163, 201]",,0.0,,0.3,,0.4,,0.07,,0.14,,0.05,
0.07,,"[523, 249, 162, 204]",,0.0,,0.08,,0.67,,0.03,,0.1,,0.04,
0.07,,"[523, 249, 162, 204]",,0.0,,0.07,,0.68,,0.03,,0.1,,0.04,
0.32,,"[538, 207, 177, 216]",,0.02,,0.1,,0.27,,0.03,,0.25,,0.01,
0.59,,"[564, 210, 184, 230]",,0.05,,0.1,,0.14,,0.0,,0.08,,0.03,
0.5,,"[581, 218, 181, 227]",,0.28,,0.09,,0.01,,0.0,,0.11,,0.01,
0.5,,"[580, 218, 182, 227]",,0.28,,0.09,,0.01,,0.0,,0.11,,0.01,
0.5,,"[589, 215, 184, 236]",,0.12,,0.14,,0.07,,0.0,,0.15,,0.02,
0.63,,"[598, 227, 188, 237]",,0.07,,0.13,,0.01,,0.0,,0.13,,0.03,
0.14,,"[619, 263, 174, 216]",,0.0,,0.19,,0.01,,0.02,,0.64,,0.0,
0.13,,"[618, 276, 182, 217]",,0.0,,0.45,,0.01,,0.04,,0.37,,0.0,
0.12,,"[618, 276, 182, 217]",,0.0,,0.46,,0.01,,0.03,,0.36,,0.0,
0.17,,"[624, 273, 181, 229]",,0.0,,0.09,,0.08,,0.06,,0.57,,0.02,
0.2,,"[630, 275, 179, 229]",,0.0,,0.09,,0.03,,0.04,,0.62,,0.02,
0.32,,"[600, 231, 189, 250]",,0.0,,0.13,,0.02,,0.09,,0.4,,0.05,
0.27,,"[602, 234, 187, 246]",,0.0,,0.15,,0.01,,0.07,,0.45,,0.05,
0.22,,"[603, 243, 178, 224]",,0.04,,0.17,,0.01,,0.03,,0.5,,0.03,
0.17,,"[597, 257, 162, 203]",,0.01,,0.27,,0.03,,0.01,,0.48,,0.02,
